Date,Fajr,Fajr-Jamaat,Dhuhr,Dhuhr-Jamaat,Asr,Asr-Jamaat,Maghrib,Isha,Isha-Jamaat
01/10/2023,05:36,06:00,12:58,13:30,15:58,16:30,18:48,20:18
02/10/2023,05:38,06:00,12:58,13:30,15:56,16:30,18:45,20:15
03/10/2023,05:40,06:00,12:58,13:30,15:54,16:30,18:43,20:12
04/10/2023,05:42,06:00,12:57,13:30,15:53,16:30,18:41,20:11
05/10/2023,05:43,06:00,12:57,13:30,15:51,16:30,18:38,20:08
06/10/2023,05:45,06:30,12:57,13:30,15:49,16:15,18:36,20:06
07/10/2023,05:47,06:30,12:57,13:30,15:47,16:15,18:34,20:04
08/10/2023,05:50,06:30,12:57,13:30,15:46,16:15,18:31,20:01
09/10/2023,05:51,06:30,12:57,13:30,15:44,16:15,18:29,19:59
10/10/2023,05:52,06:30,12:57,13:30,15:42,16:15,18:27,19:57
11/10/2023,05:54,06:30,12:56,13:30,15:39,16:15,18:25,19:52
12/10/2023,05:56,06:30,12:56,13:30,15:37,16:15,18:22,19:49
13/10/2023,05:58,06:30,12:56,13:30,15:35,16:00,18:20,19:47
14/10/2023,05:59,06:30,12:56,13:30,15:34,16:00,18:18,19:45
15/10/2023,06:01,06:30,12:56,13:30,15:32,16:00,18:16,19:43
16/10/2023,06:02,06:30,12:56,13:30,15:30,16:00,18:13,19:40
17/10/2023,06:04,06:30,12:56,13:30,15:29,16:00,18:11,19:38
18/10/2023,06:06,06:30,12:56,13:30,15:27,16:00,18:09,19:37
19/10/2023,06:08,06:30,12:55,13:30,15:25,16:00,18:07,19:35
20/10/2023,06:09,06:45,12:55,13:30,15:24,15:45,18:05,19:33
21/10/2023,06:11,06:45,12:55,13:30,15:22,15:45,18:02,19:31
22/10/2023,06:13,06:45,12:55,13:30,15:20,15:45,18:00,19:30
23/10/2023,06:14,06:45,12:55,13:30,15:19,15:45,17:58,19:28
24/10/2023,06:16,06:45,12:55,13:30,15:17,15:45,17:56,19:26
25/10/2023,06:17,06:45,12:55,13:30,15:16,15:45,17:54,19:24
26/10/2023,06:20,06:45,12:55,13:30,15:15,15:45,17:52,19:22
27/10/2023,06:21,07:00,12:55,13:30,15:14,15:30,17:50,19:20
28/10/2023,06:22,07:00,12:54,13:30,15:13,15:30,17:48,19:18
29/10/2023,05:24,06:00,11:54,12:45,14:11,14:30,16:46,18:16,18:15
30/10/2023,05:26,06:00,11:54,12:45,14:11,14:30,16:44,18:14,18:15
31/10/2023,05:27,06:00,11:54,12:45,14:11,14:30,16:42,18:12,18:15
